GEO,GEOID2,MMHI,error
1500000US060014355001,60014355001,36750,29111
1500000US060014355002,60014355002,69784,13128
1500000US060014355003,60014355003,-,**
1500000US060014356011,60014356011,51494,20327
1500000US060014356012,60014356012,63194,13354
1500000US060014356021,60014356021,58750,34595
1500000US060014356022,60014356022,72500,22868
1500000US060014356023,60014356023,63654,19737
1500000US060014356024,60014356024,60417,26983
1500000US060014357001,60014357001,63658,13597
1500000US060014357002,60014357002,119375,32039
1500000US060014357003,60014357003,87969,32281
1500000US060014357004,60014357004,90156,13181
1500000US060014358001,60014358001,81667,17121
1500000US060014358002,60014358002,84010,12058
1500000US060014358003,60014358003,135938,65474
1500000US060014358004,60014358004,80385,38300
1500000US060014359001,60014359001,103190,13992
1500000US060014359002,60014359002,102143,23268
1500000US060014359003,60014359003,68750,22505
1500000US060014359004,60014359004,92500,43839
1500000US060014360001,60014360001,99545,15623
1500000US060014360002,60014360002,83952,16521
1500000US060014360003,60014360003,75526,14083
1500000US060014361001,60014361001,95694,27065
1500000US060014361002,60014361002,79265,27002
1500000US060014361003,60014361003,68929,18934
1500000US060014362001,60014362001,46322,7576
1500000US060014362002,60014362002,60882,14764
1500000US060014363001,60014363001,44353,7868
1500000US060014363002,60014363002,74628,32392
1500000US060014363003,60014363003,54500,34813
1500000US060014363004,60014363004,106638,47458
1500000US060014364011,60014364011,106591,49482
1500000US060014364012,60014364012,81607,16609
1500000US060014364013,60014364013,68372,12704
1500000US060014364014,60014364014,82903,20459
1500000US060014364015,60014364015,92321,62998
1500000US060014364021,60014364021,130150,22059
1500000US060014364022,60014364022,125515,6556
1500000US060014365001,60014365001,52727,17092
1500000US060014365002,60014365002,68669,4894
1500000US060014366011,60014366011,73036,9633
1500000US060014366012,60014366012,75313,15353
1500000US060014366013,60014366013,63977,18191
1500000US060014366021,60014366021,50179,12401
1500000US060014366022,60014366022,45139,39664
1500000US060014367001,60014367001,98375,46107
1500000US060014367002,60014367002,78393,14867
